t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct
27175,MANUAL,IDLE,0,194.0,23.4,1,170.57,682.29,-582.73,0.43,691.25,0,100,80,90,90
28176,MANUAL,IDLE,0,194.0,23.1,1,170.85,683.42,-585.66,2.24,111.48,0,100,80,90,90
29178,MANUAL,IDLE,0,194.0,22.5,1,171.46,685.86,-590.75,4.89,113.66,0,100,80,90,90
30180,MANUAL,IDLE,0,194.0,22.7,1,171.26,685.05,-583.42,-1.63,101.24,0,100,80,90,90
31178,MANUAL,IDLE,0,194.0,22.4,1,171.65,686.59,-589.67,3.09,114.84,0,100,80,90,90
32175,MANUAL,IDLE,0,194.0,22.7,1,171.35,685.39,-583.00,-2.39,101.90,0,100,80,90,90
33175,MANUAL,IDLE,0,194.0,22.7,1,171.31,685.22,-584.88,-0.34,110.44,0,100,80,90,90
34175,MANUAL,IDLE,0,194.0,23.8,1,170.16,680.62,-576.37,-9.19,95.06,0,95,76,90,90
35175,MANUAL,IDLE,0,194.0,24.6,1,169.40,677.60,-571.55,-6.05,103.66,0,100,80,90,90
36175,MANUAL,IDLE,0,194.0,26.2,1,167.83,671.34,-563.16,-12.53,95.65,0,96,76,90,90
37176,MANUAL,IDLE,0,194.0,27.6,1,166.39,665.57,-554.84,-11.55,99.18,0,99,79,90,90
38176,MANUAL,IDLE,0,194.0,30.0,1,164.00,656.01,-546.64,-19.12,90.24,0,90,72,90,90
39177,MANUAL,IDLE,0,194.0,31.9,1,162.09,648.38,-538.54,-15.25,94.58,0,95,76,90,90
40176,MANUAL,IDLE,0,194.0,34.7,1,159.32,637.28,-530.57,-22.21,84.50,0,84,67,90,90
41176,MANUAL,IDLE,0,194.0,37.3,1,156.71,626.84,-522.74,-20.87,83.24,0,83,66,90,90
42243,MANUAL,IDLE,0,194.0,40.9,1,153.07,612.29,-515.08,-29.11,68.09,0,68,54,90,90
43175,MANUAL,IDLE,0,194.0,43.7,1,150.29,601.16,-507.57,-22.25,71.34,0,71,56,90,90
44174,MANUAL,IDLE,0,194.0,47.7,1,146.34,585.34,-500.25,-31.64,53.45,0,53,42,90,90
45174,MANUAL,IDLE,0,194.0,51.0,1,143.03,572.13,-493.10,-26.42,52.61,0,53,42,90,90
46175,MANUAL,IDLE,0,194.0,54.8,1,139.19,556.76,-486.14,-30.74,39.88,0,40,32,90,90
