t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct
32187,MANUAL,IDLE,0,196.0,22.6,1,173.36,693.44,8.67,2.20,704.31,0,100,80,90,90
33267,MANUAL,IDLE,0,196.0,21.8,1,174.25,697.00,17.38,7.11,721.49,0,100,80,90,90
34186,MANUAL,IDLE,0,196.0,21.6,1,174.39,697.56,26.10,1.13,724.79,0,100,80,90,90
35187,MANUAL,IDLE,0,196.0,21.1,1,174.88,699.50,34.84,3.88,738.23,0,100,80,90,90
36189,MANUAL,IDLE,0,196.0,21.4,1,174.60,698.41,43.57,-2.19,739.79,0,100,80,90,90
37186,MANUAL,IDLE,0,196.0,21.3,1,174.65,698.60,52.31,0.39,751.30,0,100,80,90,90
38187,MANUAL,IDLE,0,196.0,22.0,1,173.98,695.90,61.01,-5.40,751.50,0,100,80,90,90
39187,MANUAL,IDLE,0,196.0,22.6,1,173.36,693.45,69.67,-4.91,758.20,0,100,80,90,90
40252,MANUAL,IDLE,0,196.0,24.2,1,171.77,687.06,78.26,-12.76,752.56,0,100,80,90,90
41183,MANUAL,IDLE,0,196.0,25.4,1,170.63,682.54,86.79,-9.06,760.27,0,100,80,90,90
42184,MANUAL,IDLE,0,196.0,27.5,1,168.51,674.05,95.22,-16.97,752.30,0,100,80,90,90
43184,MANUAL,IDLE,0,196.0,29.2,1,166.84,667.34,100.00,-13.42,753.92,0,100,80,90,90
44184,MANUAL,IDLE,0,196.0,31.9,1,164.14,656.57,100.00,-21.55,735.02,0,100,80,90,90
45184,MANUAL,IDLE,0,196.0,34.3,1,161.74,646.94,100.00,-19.25,727.70,0,100,80,90,90
46184,MANUAL,IDLE,0,196.0,37.3,1,158.74,634.97,100.00,-23.95,711.02,0,100,80,90,90
47184,MANUAL,IDLE,0,196.0,40.0,1,156.01,624.04,100.00,-21.85,702.20,0,100,80,90,90
48185,MANUAL,IDLE,0,196.0,43.4,1,152.63,610.53,100.00,-27.04,683.49,0,100,80,90,90
49185,MANUAL,IDLE,0,196.0,46.5,1,149.50,597.98,100.00,-25.08,672.90,0,100,80,90,90
50185,MANUAL,IDLE,0,196.0,50.2,1,145.83,583.30,100.00,-29.36,653.94,0,100,80,90,90
51185,MANUAL,IDLE,0,196.0,53.4,1,142.59,570.36,100.00,-25.89,644.47,0,100,80,90,90
52186,MANUAL,IDLE,0,196.0,57.2,1,138.78,555.14,100.00,-30.44,624.70,0,100,80,90,90
53186,MANUAL,IDLE,0,196.0,60.7,1,135.33,541.33,100.00,-27.62,613.71,0,100,80,90,90
54186,MANUAL,IDLE,0,196.0,64.5,1,131.47,525.87,100.00,-30.91,594.96,0,100,80,90,90
55186,MANUAL,IDLE,0,196.0,68.1,1,127.87,511.49,100.00,-28.76,582.73,0,100,80,90,90
56265,MANUAL,IDLE,0,196.0,72.2,1,123.83,495.34,100.00,-32.30,563.03,0,100,80,90,90
57183,MANUAL,IDLE,0,196.0,75.6,1,120.36,481.44,100.00,-27.80,553.64,0,100,80,90,90
58185,MANUAL,IDLE,0,196.0,79.5,1,116.53,466.12,100.00,-30.64,535.49,0,100,80,90,90
59184,MANUAL,IDLE,0,196.0,82.7,1,113.30,453.19,100.00,-25.86,527.34,0,100,80,90,90
60184,MANUAL,IDLE,0,196.0,86.3,1,109.67,438.67,100.00,-29.04,509.63,0,100,80,90,90
61184,MANUAL,IDLE,0,196.0,89.5,1,106.55,426.19,100.00,-24.96,501.23,0,100,80,90,90
62185,MANUAL,IDLE,0,196.0,93.1,1,102.87,411.48,100.00,-29.42,482.07,0,100,80,90,90
63184,MANUAL,IDLE,0,196.0,96.1,1,99.88,399.52,100.00,-23.92,475.60,0,100,80,90,90
64185,MANUAL,IDLE,0,196.0,99.4,1,96.56,386.23,100.00,-26.58,459.65,0,100,80,90,90
65185,MANUAL,IDLE,0,196.0,102.2,1,93.81,375.25,100.00,-21.95,453.30,0,100,80,90,90
66185,MANUAL,IDLE,0,196.0,105.4,1,90.58,362.33,100.00,-25.85,436.48,0,100,80,90,90
67185,MANUAL,IDLE,0,196.0,108.1,1,87.92,351.69,100.00,-21.29,430.40,0,100,80,90,90
68186,MANUAL,IDLE,0,196.0,111.1,1,84.92,339.70,100.00,-23.98,415.72,0,100,80,90,90
69186,MANUAL,IDLE,0,196.0,113.7,1,82.33,329.33,100.00,-20.74,408.59,0,100,80,90,90
70186,MANUAL,IDLE,0,196.0,116.6,1,79.42,317.69,100.00,-23.29,394.40,0,100,80,90,90
71186,MANUAL,IDLE,0,196.0,118.9,1,77.13,308.51,100.00,-18.35,390.16,0,100,80,90,90
72265,MANUAL,IDLE,0,196.0,121.6,1,74.42,297.66,100.00,-21.70,375.97,0,100,80,90,90
73183,MANUAL,IDLE,0,196.0,123.6,1,72.37,289.50,100.00,-16.33,373.17,0,100,80,90,90
74184,MANUAL,IDLE,0,196.0,126.2,1,69.84,279.34,100.00,-20.31,359.03,0,100,80,90,90
75184,MANUAL,IDLE,0,196.0,128.2,1,67.80,271.19,100.00,-16.30,354.89,0,100,80,90,90
76184,MANUAL,IDLE,0,196.0,130.6,1,65.42,261.67,100.00,-19.04,342.63,0,100,80,90,90
77184,MANUAL,IDLE,0,196.0,132.3,1,63.66,254.63,100.00,-14.09,340.54,0,100,80,90,90
78184,MANUAL,IDLE,0,196.0,134.4,1,61.59,246.35,100.00,-16.55,329.80,0,100,80,90,90
79184,MANUAL,IDLE,0,196.0,136.2,1,59.83,239.32,100.00,-14.06,325.26,0,100,80,90,90
80185,MANUAL,IDLE,0,196.0,138.4,1,57.61,230.43,100.00,-17.78,312.65,0,100,80,90,90
81185,MANUAL,IDLE,0,196.0,140.2,1,55.84,223.37,100.00,-14.13,309.24,0,100,80,90,90
82185,MANUAL,IDLE,0,196.0,142.0,1,53.99,215.96,100.00,-14.82,301.14,0,100,80,90,90
83185,MANUAL,IDLE,0,196.0,143.5,1,52.54,210.16,100.00,-11.59,298.58,0,100,80,90,90
84186,MANUAL,IDLE,0,196.0,145.3,1,50.66,202.65,100.00,-15.02,287.64,0,100,80,90,90
85186,MANUAL,IDLE,0,196.0,146.8,1,49.20,196.81,100.00,-11.70,285.11,0,100,80,90,90
86186,MANUAL,IDLE,0,196.0,148.5,1,47.50,190.02,100.00,-13.58,276.44,0,100,80,90,90
87186,MANUAL,IDLE,0,196.0,149.8,1,46.17,184.70,100.00,-10.64,274.06,0,100,80,90,90
88273,MANUAL,IDLE,0,196.0,151.5,1,44.50,178.02,100.00,-13.36,264.66,0,100,80,90,90
89183,MANUAL,IDLE,0,196.0,152.6,1,43.39,173.57,100.00,-8.89,264.68,0,100,80,90,90
90184,MANUAL,IDLE,0,196.0,154.1,1,41.88,167.51,100.00,-12.13,255.38,0,100,80,90,90
91184,MANUAL,IDLE,0,196.0,155.2,1,40.82,163.29,100.00,-8.45,254.84,0,100,80,90,90
92184,MANUAL,IDLE,0,196.0,156.7,1,39.31,157.22,100.00,-12.13,245.10,0,100,80,90,90
93184,MANUAL,IDLE,0,196.0,157.6,1,38.39,153.56,100.00,-7.32,246.24,0,100,80,90,90
