t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
90195,MANUAL,IDLE,0,170.0,35.5,1,134.53,115.37,4.13,0.24,119.73,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
91195,MANUAL,IDLE,0,170.0,35.3,1,134.67,115.49,8.26,0.87,124.63,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
92195,MANUAL,IDLE,0,170.0,35.4,1,134.64,115.46,12.40,0.44,128.30,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
93195,MANUAL,IDLE,0,170.0,35.5,1,134.53,115.37,16.53,-0.26,131.64,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
94195,MANUAL,IDLE,0,170.0,35.5,1,134.46,115.30,20.65,-0.56,135.40,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
95195,MANUAL,IDLE,0,170.0,35.7,1,134.29,115.16,24.78,-1.21,138.72,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
96195,MANUAL,IDLE,0,170.0,36.2,1,133.76,114.70,28.88,-3.47,140.12,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
97195,MANUAL,IDLE,0,170.0,37.0,1,133.00,114.06,32.96,-6.07,140.95,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
98195,MANUAL,IDLE,0,170.0,38.2,1,131.77,113.00,37.01,-10.21,139.79,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
99195,MANUAL,IDLE,0,170.0,40.0,1,130.03,111.50,41.00,-15.50,137.00,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
100195,MANUAL,IDLE,0,170.0,41.9,1,128.08,109.83,44.93,-20.06,134.70,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
101195,MANUAL,IDLE,0,170.0,44.3,1,125.75,107.83,48.79,-25.01,131.62,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
102195,MANUAL,IDLE,0,170.0,47.0,1,123.01,105.49,52.57,-30.31,127.75,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
103195,MANUAL,IDLE,0,170.0,50.0,1,120.01,102.91,56.25,-35.21,123.95,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
104195,MANUAL,IDLE,0,170.0,53.3,1,116.71,100.08,59.83,-39.95,119.97,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
105195,MANUAL,IDLE,0,170.0,56.9,1,113.05,96.95,63.30,-44.86,115.39,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
106195,MANUAL,IDLE,0,170.0,60.8,1,109.23,93.67,66.66,-48.98,111.35,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
107195,MANUAL,IDLE,0,170.0,64.8,1,105.18,90.20,69.88,-52.89,107.19,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
108195,MANUAL,IDLE,0,170.0,68.9,1,101.08,86.69,72.99,-55.69,103.98,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
109195,MANUAL,IDLE,0,170.0,73.2,1,96.83,83.04,75.96,-58.37,100.62,0,100,100,100,100,0.8576,0.0307,14.9737,0,0,0.0
110195,MANUAL,IDLE,0,170.0,77.6,1,92.39,79.23,78.79,-61.08,96.94,0,97,97,100,100,0.8576,0.0307,14.9737,0,0,0.0
111195,MANUAL,IDLE,0,170.0,82.0,1,88.00,75.46,81.50,-62.62,94.34,0,94,94,100,100,0.8576,0.0307,14.9737,0,0,0.0
112195,MANUAL,IDLE,0,170.0,86.4,1,83.59,71.69,84.06,-63.74,92.01,0,92,92,100,100,0.8576,0.0307,14.9737,0,0,0.0
113195,MANUAL,IDLE,0,170.0,90.6,1,79.40,68.09,86.50,-63.44,91.14,0,91,91,100,100,0.8576,0.0307,14.9737,0,0,0.0
114195,MANUAL,IDLE,0,170.0,95.2,1,74.83,64.17,88.80,-65.08,87.89,0,88,88,100,100,0.8576,0.0307,14.9737,0,0,0.0
